2022-09-07 16:14:57.161 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logbackDemoApplication': Initialization of bean failed; nested exception is java.lang.IllegalStateException: Encountered invalid @Scheduled method 'log': For input string: "" '/2' in cron expression "/2 * * * * ?"
2022-09-07 16:15:45.857 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logbackDemoApplication': Initialization of bean failed; nested exception is java.lang.IllegalStateException: Encountered invalid @Scheduled method 'log': For input string: "?" '?/2' in cron expression "?/2 * * * * ?"
2022-09-07 16:16:38.023 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:40.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:42.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:44.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:46.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:48.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:50.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:52.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:54.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:56.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:16:58.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:00.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:02.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:04.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:06.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:08.008 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:10.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:12.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:14.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:16.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:18.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:20.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:22.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:24.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:26.003 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:28.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:30.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:32.009 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:34.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:36.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:38.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:17:40.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
